subject_id,experiment_version,stimulus_parameter,training_image_order_parameter,seed,catk_parameter_1,catk_parameter_2,age_group,room,age_mos,age_day_count,experimenter,pilot,exclude,complete,notes,double checked init file?,
p072,exp_v1.1,0,1,112,3,1,6,fishbowl,79,23,JC,no,no,yes,"good appt, smooth and no issues with procedure. no comments!",,
p073,exp_v1.1,1,0,112,4,0,8,fishbowl,103,3,JC,no,no,yes,"good appt, kid definitely got the task. on round 5, she pointed at a dog on test (after training on 3 animals) and said i'm going to pick this one since this is a type of dog (refers to test image choice) and this (refers to training image dalmatian) is a type of dog. other than that, nothing else to note!",,
p074,exp_v1.1,1,1,112,5,5,7,fishbowl,95,20,JC,no,no,yes,"good appt, kid go the task! she would tap submit at times (mostly at the beginning), and it might have led her to miss selecting some items on test that she might have if she considered the options for longer--but she wasnt necessarily speeding through the task that quickly. i only say this because on round 5 she said she was done, but then, right before i hit submit for her, she said ""wait i forgot this one"" and picked the red pepper (completing the vegetable set that she picked out). but other than that, the procedure still ran smoothly!",,
p075,exp_v1.1,0,0,113,0,3,7,fishbowl,89,20,JC,no,no,yes,"good appt, no issues to note",,
p076,exp_v1.1,0,1,113,1,2,5,fishbowl,66,2,JC,no,no,yes,"good appt, no issues to note",,
p077,exp_v1.1,1,0,113,2,1,8,fishbowl,107,23,JC,no,no,yes,"good appt, kid definitely got the task. on round 1, she answered the what does [label] mean part by saying ""whatever type of fish that is"" referencing the clownfish she was trained on and sampled. she was hypothesizing and strategizing out loud, so here are my notes on that: sampling on round 4, she said ""i feel like all sibus are dogs (based on intermediate animal training), so i want to see if that's a sibu (points at and samples horse)""; sampling on round 5, she picked the radish to sample because she thought the training (narrow vegetable trainig) implied pepper. last thing, on round 6, she asked ""is frisbee a sport?"" during test, and decided not to pick the frisbee since she wasn't sure",,
p078,exp_v1.1,1,1,113,3,0,6,fishbowl,73,22,JC,no,no,yes,"good appt, no issues to note, kid defintely got the task!",,
p079,exp_v1.1,0,0,114,4,5,5,fishbowl,71,10,JC,no,no,yes,"good appt, kid seemed to only pick one item for each test phase, despite having verbalized hypotheses that seemed like they would lead to more generalizing. for example, she said, during round 5, that ""those are all fruit"" after training with 3-item intermediate fruit images, but then she sampled an apple, and only selected the red apple in test, and answered ""apple"" to what do you think [label] means",,
p080,exp_v1.1,0,1,114,5,4,5,fishbowl,69,7,JC,no,no,yes,"good appt, kid was shy so mom came, but this didn't distract from anything. on the sports ball round (#1), she hesitated for a long time before picking the potato under her ball hypothesis (which she shared in the what does label mean part) during the test.",,
p081,exp_v1.1,1,0,114,0,2,8,fishbowl,90,0,JC,no,no,yes,"good appt, no issues to note!",,
p082,exp_v1.1,1,1,114,1,1,6,fishbowl,80,4,JC,no,no,yes,"good appt, no issues to note. on round 5, she sampled hypernym and it was also a [label] and so on test she selected the basketball and then all the veggies (interesting she generalized veggies but not sports--or just to ball)",,
p083,exp_v1.1,0,0,115,2,0,6,fishbowl,82,29,JC,no,no,yes,"good appt, no issues to note!",,
p084,exp_v1.1,0,1,115,3,5,6,fishbowl,73,18,JC,no,no,yes,"good appt! mom sat in but didn't cause any issues. kid seemed to not be generalizing with the categories, at least for the first 2 rounds, but then that was more normal for the next 4 rounds--not sure why, but it was interesting to watch!",,
p085,exp_v1.1,1,0,115,4,4,6,fishbowl,79,23,JC,no,no,yes,"good appt, kid seemed to get task, but it also seems like he might’ve been biased towards trying to get an object that is a [label] during sampling. he said “yay i got it right!” after sampling something that was a [label], and he said “oops!” when he sampled something that was not a [label]",,
p086,exp_v1.1,1,1,115,5,3,5,fishbowl,65,29,JC,no,no,yes,"interesting appt. kid didn’t seem to fully get the task. sampling and what does this label mean phases were good though, and made more sense. he had some trouble with sampling at first (trying to tap training images, taps not registering) but i think that figured itself out without much trouble or issue for the procedure. dad sat in but no distractions from task. first round test phase, had to go through test items one by one because he clicked everything, and he kept trying to call things by their English labels—had to redirect kid to remember he needed to learn alien language. after a few rounds, his answers kind of made more sense? but he also seemed to be picking things off of interest (like, “ooh dog! i like doggies!”)",,
